ID,macid,Date_time,Acceleration_x,Acceleration_y,Acceleration_z,Acceleration_s,Frequency,Amplitude,sound,Temp_t1,Temp_t2,Temp_t3,emf,bv,an,device_id,node_firm,gateway_firm,radio_power,res,sen_type
1008,,10/18/2017 0:02:04,1.5,0.95,0.04,1.77,8.84,15.9,0,24.7,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:02:11,1.5,0.89,0.03,1.74,8.95,15.25,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:02:12,1.55,0.81,0.04,1.74,8.85,15.58,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:02:12,1.53,0.91,0.04,1.78,8.86,15.91,0,24,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:02:13,1.55,0.85,0.03,1.76,8.82,15.87,0,24.8,23.3,24,ffab,165,61,,,,,ffff,
1024,,10/18/2017 0:02:22,1.53,0.8,0.04,1.72,118.11,829.13,0,5708.8,5888,4224,ffff,a301,62,,,,,01ff,
1009,,10/18/2017 0:02:23,1.54,0.85,0.02,1.75,8.82,15.78,0,24.8,23.5,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:02:24,1.49,0.94,0.04,1.76,8.91,15.56,0,24.8,23.9,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:02:31,1.51,0.9,0.03,1.75,8.9,15.5,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:02:32,1.54,0.8,0.04,1.73,8.92,15.26,0,22.9,22.4,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:02:32,1.54,0.91,0.04,1.78,8.82,16.05,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:02:33,1.53,0.84,0.02,1.74,8.84,15.63,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:02:34,1.51,0.95,0.04,1.78,8.87,15.87,0,24.9,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:02:41,1.52,0.91,0.03,1.77,8.86,15.83,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:02:42,1.55,0.8,0.04,1.74,8.87,15.51,0,22.9,22.2,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:02:42,1.53,0.91,0.04,1.78,8.84,15.98,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1008,,10/18/2017 0:02:44,1.51,0.96,0.04,1.78,8.84,15.98,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:02:51,1.52,0.9,0.03,1.76,8.86,15.73,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:02:52,1.56,0.81,0.05,1.75,8.84,15.71,0,23,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:02:52,1.52,0.9,0.04,1.76,8.95,15.41,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:02:53,1.53,0.83,0.02,1.74,8.9,15.41,0,24.8,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:02:54,1.51,0.96,0.04,1.78,8.83,16.02,0,24.8,23.9,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:03:01,1.52,0.9,0.03,1.76,8.86,15.73,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:03:02,1.56,0.81,0.04,1.75,8.83,15.75,0,22.9,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:03:02,1.52,0.91,0.04,1.77,8.9,15.68,0,24.1,23.2,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:03:03,1.54,0.84,0.02,1.75,8.9,15.5,0,24.8,23.3,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:03:04,1.5,0.95,0.04,1.77,8.85,15.85,0,24.9,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:03:11,1.5,0.9,0.03,1.74,8.87,15.51,0,25.2,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:03:12,1.55,0.81,0.04,1.74,8.82,15.7,0,22.9,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:03:12,1.53,0.91,0.04,1.78,8.89,15.8,0,24.1,23,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:03:13,1.55,0.85,0.02,1.76,8.87,15.7,0,24.8,23.5,24,ffab,165,61,,,,,ffff,
1024,,10/18/2017 0:03:22,1.53,0.8,0.04,1.72,118.11,829.13,0,5708.8,5888,1484.8,ffff,a301,62,,,,,01ff,
1009,,10/18/2017 0:03:23,1.55,0.85,0.02,1.76,8.85,15.77,0,24.7,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:03:24,1.49,0.94,0.04,1.76,8.92,15.51,0,24.8,23.9,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:03:31,1.51,0.89,0.03,1.75,8.9,15.5,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:03:32,1.53,0.79,0.04,1.72,8.92,15.16,0,22.9,22.3,23,ffa3,160,62,,,,,ffff,
1013,,10/18/2017 0:03:32,1.54,0.92,0.04,1.79,8.86,15.99,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:03:33,1.53,0.84,0.02,1.74,8.87,15.51,0,24.7,23.5,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:03:34,1.5,0.95,0.04,1.77,8.87,15.78,0,24.8,23.8,24,ffad,166,57,,,,,ffff,
1002,,10/18/2017 0:03:41,1.52,0.9,0.03,1.76,8.84,15.8,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:03:42,1.55,0.8,0.04,1.74,8.89,15.44,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:03:42,1.53,0.91,0.04,1.78,8.87,15.87,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:03:43,1.53,0.83,0.02,1.74,8.91,15.37,0,24.7,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:03:44,1.52,0.96,0.04,1.79,8.86,15.99,0,24.7,23.8,24,ffad,167,57,,,,,ffff,
1002,,10/18/2017 0:03:51,1.53,0.9,0.02,1.77,8.84,15.9,0,25.1,0,0,ffb1,165,59,,,,,ffff,
1024,,10/18/2017 0:03:52,1.56,0.81,0.04,1.75,8.87,15.61,0,23,22.3,23,ffa3,015f,62,,,,,ffff,
1013,,10/18/2017 0:03:52,1.52,0.91,0.04,1.77,8.89,15.71,0,24.1,23.1,24,ffbd,161,59,,,,,ffff,
1009,,10/18/2017 0:03:53,1.53,0.83,0.02,1.74,8.92,15.34,0,24.7,23.4,24,ffab,165,61,,,,,ffff,
1008,,10/18/2017 0:03:54,1.51,0.96,0.04,1.78,8.84,15.98,0,24.7,23.8,24,ffad,167,57,,,,,ffff,
