1.51,0.9,0.03,1.75,8.88,15.57,24.1,23.1,24,59,s
1.53,0.84,0.02,1.74,8.88,15.49,24.8,23.3,24,61,o
1.48,0.94,0.04,1.75,9,15.16,24.8,23.7,24,57,h
1.52,0.8,0.04,1.71,102.75,836.37,5760,5888,3891.2,62,t
1.54,0.85,0.02,1.75,8.8,15.85,24.8,23.3,24,61,o
1.49,0.94,0.04,1.76,8.87,15.7,24.8,23.8,24,57,h
1.51,0.9,0.03,1.75,8.85,15.68,25.2,0,0,59,d
1.55,0.81,0.04,1.74,8.8,15.77,23.1,22.5,23,62,t
1.5,0.89,0.03,1.74,8.96,15.2,24.1,23.1,24,59,s
1.51,0.83,0.02,1.72,8.96,15.03,24.8,23.4,24,61,o
1.5,0.95,0.04,1.77,8.81,15.99,24.8,23.7,24,57,h
1.49,0.88,0.03,1.73,8.99,15.02,25.2,0,0,59,d
1.52,0.8,0.05,1.71,8.97,14.91,23.1,22.5,23,62,t
1.53,0.9,0.03,1.77,8.85,15.85,24.1,23.1,24,59,s
1.54,0.85,0.02,1.75,8.84,15.71,24.8,23.3,24,61,o
1.5,0.89,0.03,1.74,8.86,15.56,25.2,0,0,59,d
